tipo_operacion,importe,hora,dia_semana,pais_destino,antiguedad_cliente,num_transacciones_24h,importe_promedio_historico,ratio_importe_vs_historico,canal,es_fraude
transferencia,84.39,9,3,domestic,26,0,48.34,1.7458,sucursal,0
compra_pos,131.36,23,3,domestic,66,1,149.32,0.8797,app_movil,0
pago_online,275.99,12,2,domestic,107,2,257.99,1.0698,web,0
compra_pos,31.93,12,1,domestic,61,1,35.0,0.9121,sucursal,0
compra_pos,23.61,23,3,domestic,55,1,50.34,0.469,app_movil,0
retiro_cajero,137.89,9,1,domestic,74,2,115.79,1.1909,app_movil,0
retiro_cajero,294.6,18,1,domestic,32,3,227.11,1.2972,cajero,0
transferencia,35.24,22,4,domestic,95,1,62.64,0.5626,web,0
pago_online,34.35,22,1,domestic,69,1,50.28,0.6832,app_movil,0
compra_pos,71.23,12,3,domestic,13,0,91.54,0.7781,sucursal,0
retiro_cajero,54.05,7,0,domestic,63,1,72.13,0.7493,app_movil,0
transferencia,86.46,8,1,EU,30,0,61.19,1.413,cajero,0
compra_pos,541.51,11,0,domestic,81,2,532.25,1.0174,web,0
retiro_cajero,153.97,19,0,EU,199,2,157.77,0.9759,app_movil,0
transferencia,22.27,17,0,EU,32,0,20.07,1.1094,web,0
pago_online,52.68,13,2,EU,43,2,55.09,0.9562,cajero,0
transferencia,38.14,11,5,domestic,60,2,42.12,0.9055,app_movil,0
transferencia,17.42,16,4,domestic,47,1,174.21,0.1,cajero,0
transferencia,73.09,9,1,US,31,2,78.07,0.9362,app_movil,0
pago_online,199.75,13,6,domestic,17,3,229.08,0.872,app_movil,0
transferencia_internacional,240.76,22,5,domestic,57,1,189.76,1.2688,app_movil,0
retiro_cajero,71.49,12,0,domestic,65,2,110.44,0.6474,web,0
compra_pos,138.06,9,0,domestic,28,4,214.15,0.6447,sucursal,0
pago_online,99.05,11,0,domestic,68,1,149.01,0.6647,app_movil,0
pago_online,641.18,21,5,domestic,25,3,624.7,1.0264,sucursal,0
pago_online,25.66,15,3,domestic,122,2,30.57,0.8395,cajero,0
pago_online,99.55,23,3,domestic,39,1,96.62,1.0303,cajero,0
compra_pos,31.46,17,2,domestic,26,1,31.09,1.0121,app_movil,0
pago_online,81.85,19,3,domestic,104,1,84.98,0.9632,app_movil,0
transferencia,67.3,18,3,domestic,35,4,53.55,1.2568,cajero,0
pago_online,40.95,17,5,domestic,45,3,68.46,0.5982,web,0
transferencia,213.32,17,2,domestic,50,0,339.14,0.629,app_movil,0
retiro_cajero,41.65,16,0,domestic,31,3,37.59,1.1081,cajero,0
retiro_cajero,444.66,11,3,domestic,19,0,307.82,1.4445,app_movil,0
pago_online,31.95,17,4,domestic,42,3,38.04,0.8399,app_movil,0
transferencia,278.76,16,3,domestic,39,0,310.43,0.898,app_movil,0
transferencia,49.98,16,3,Asia,47,0,70.95,0.7044,cajero,0
transferencia,84.32,13,4,domestic,18,2,89.9,0.9379,cajero,0
pago_online,47.68,23,4,domestic,29,0,67.93,0.702,sucursal,0
transferencia,145.61,11,2,domestic,46,2,282.21,0.516,sucursal,0
pago_online,135.62,21,4,domestic,50,2,168.67,0.8041,sucursal,0
retiro_cajero,45.09,17,3,domestic,12,1,44.57,1.0116,web,0
transferencia_internacional,166.65,16,4,Asia,54,3,217.85,0.765,web,0
transferencia,181.08,9,4,domestic,58,5,158.31,1.1439,app_movil,0
transferencia_internacional,83.49,1,1,Asia,7,9,55.66,1.5,web,1
transferencia,62.6,11,4,domestic,105,3,79.53,0.7871,cajero,0
retiro_cajero,59.27,15,2,domestic,15,0,52.84,1.1217,web,0
retiro_cajero,25.37,14,4,domestic,50,1,57.11,0.4442,web,0
pago_online,78.47,21,0,domestic,60,3,82.56,0.9504,sucursal,0
pago_online,129.35,17,0,US,63,0,110.6,1.1695,web,0
pago_online,62.59,9,6,domestic,45,2,83.57,0.7489,app_movil,0
retiro_cajero,74.29,14,5,domestic,69,1,68.4,1.0861,web,0
transferencia_internacional,19.59,12,0,US,43,0,22.63,0.8655,app_movil,0
retiro_cajero,166.97,12,4,domestic,74,1,196.37,0.8503,app_movil,0
transferencia,32.28,17,3,LATAM,40,2,34.87,0.9258,app_movil,0
retiro_cajero,89.57,16,6,domestic,38,2,47.74,1.8763,sucursal,0
transferencia,32.51,18,3,Asia,8,3,38.38,0.8471,app_movil,0
retiro_cajero,578.29,7,2,domestic,30,0,404.47,1.4297,app_movil,0
transferencia,54.66,14,2,domestic,166,1,42.51,1.2858,cajero,0
transferencia,219.47,17,6,Africa,54,1,300.54,0.7303,app_movil,0
pago_online,420.29,14,1,domestic,49,0,354.01,1.1872,web,0
retiro_cajero,372.14,16,0,domestic,59,1,1008.7,0.3689,app_movil,0
transferencia,6.01,10,3,EU,28,1,12.05,0.4989,web,0
compra_pos,184.07,16,6,domestic,25,3,208.68,0.8821,web,0
compra_pos,30.77,22,5,domestic,60,0,44.81,0.6867,sucursal,0
transferencia,600.01,5,5,US,38,4,138.57,4.33,sucursal,1
transferencia,138.28,15,3,EU,110,0,108.62,1.273,app_movil,0
retiro_cajero,44.91,8,3,domestic,93,1,40.84,1.0997,app_movil,0
compra_pos,65.85,19,4,domestic,55,3,68.66,0.9591,web,0
pago_online,54.46,7,5,domestic,22,1,41.39,1.3157,app_movil,0
compra_pos,53.44,10,3,domestic,19,0,68.59,0.7791,sucursal,0
transferencia,44.09,11,1,EU,36,1,49.39,0.8927,app_movil,0
pago_online,9.7,7,3,domestic,43,2,15.77,0.615,app_movil,0
compra_pos,19.9,18,6,domestic,8,1,20.56,0.968,sucursal,0
pago_online,85.46,22,5,domestic,52,2,83.73,1.0206,web,0
pago_online,50.76,9,1,domestic,33,1,53.97,0.9406,cajero,0
pago_online,92.72,20,5,US,25,3,86.12,1.0767,sucursal,0
compra_pos,103.14,20,1,domestic,124,1,137.37,0.7508,app_movil,0
pago_online,334.59,0,3,domestic,58,2,222.33,1.5049,app_movil,0
pago_online,63.72,10,5,Africa,43,3,79.69,0.7996,app_movil,0
compra_pos,50.96,19,0,domestic,8,1,53.64,0.9501,web,0
transferencia,61.26,19,4,domestic,101,2,45.16,1.3566,sucursal,0
transferencia,347.88,12,0,domestic,43,4,569.77,0.6106,app_movil,0
compra_pos,37.48,12,3,domestic,66,2,77.26,0.4851,app_movil,0
retiro_cajero,358.96,6,4,domestic,63,1,380.96,0.9422,app_movil,0
compra_pos,551.72,16,4,domestic,106,0,523.88,1.0532,app_movil,0
transferencia,112.54,10,1,LATAM,91,2,93.68,1.2013,app_movil,0
transferencia,391.51,19,2,Africa,157,0,304.39,1.2862,sucursal,0
transferencia,78.07,13,2,domestic,44,2,48.04,1.6252,web,0
compra_pos,59.83,16,1,EU,33,1,43.93,1.3619,app_movil,0
transferencia,122.54,13,1,domestic,64,4,102.97,1.1901,app_movil,0
retiro_cajero,34.22,14,4,US,40,1,37.59,0.9102,web,0
pago_online,356.67,15,4,Asia,44,2,378.95,0.9412,app_movil,0
retiro_cajero,342.13,9,3,domestic,29,3,275.35,1.2425,sucursal,0
pago_online,61.55,2,1,domestic,53,1,48.44,1.2705,app_movil,0
transferencia,69.4,12,2,Asia,96,3,90.63,0.7657,web,0
pago_online,64.2,8,0,EU,10,1,50.77,1.2645,cajero,0
pago_online,34.92,14,0,domestic,64,2,64.76,0.5393,cajero,0
transferencia,193.81,18,3,EU,31,2,230.5,0.8408,app_movil,0
compra_pos,49.6,16,1,US,29,1,55.38,0.8957,web,0
pago_online,99.01,16,3,domestic,113,1,125.86,0.7867,web,0
transferencia,61.25,11,5,EU,64,1,174.92,0.3501,app_movil,0
retiro_cajero,67.31,22,1,domestic,201,2,84.75,0.7942,web,0
transferencia,26.73,16,3,domestic,74,0,25.62,1.0433,app_movil,0
transferencia,36.57,18,1,domestic,83,1,41.64,0.8782,web,0
pago_online,31.84,15,0,domestic,67,1,36.2,0.8796,web,0
transferencia,102.42,13,1,US,50,2,84.31,1.2149,cajero,0
pago_online,29.02,19,4,domestic,77,0,45.33,0.6402,cajero,0
retiro_cajero,78.52,12,1,domestic,22,3,119.07,0.6595,web,0
compra_pos,64.54,23,6,domestic,32,1,154.88,0.4167,sucursal,0
transferencia_internacional,7.56,9,2,EU,34,1,24.59,0.3073,app_movil,0
pago_online,409.99,7,3,Africa,18,4,64.91,6.3162,web,1
retiro_cajero,167.21,19,1,EU,114,1,129.83,1.2879,web,0
pago_online,78.59,7,1,US,139,3,98.15,0.8007,cajero,0
transferencia,44.86,6,6,domestic,29,4,91.95,0.4879,web,0
retiro_cajero,144.37,12,0,Asia,86,0,198.19,0.7284,sucursal,0
retiro_cajero,187.29,7,3,domestic,191,0,205.05,0.9134,app_movil,0
compra_pos,48.52,11,1,Asia,19,1,37.99,1.2772,web,0
retiro_cajero,64.62,17,4,domestic,32,1,64.53,1.0014,app_movil,0
pago_online,54.4,18,2,domestic,70,3,57.46,0.9468,sucursal,0
pago_online,8.31,10,0,US,16,2,15.59,0.5331,web,0
transferencia,108.55,10,0,US,74,1,104.33,1.0405,app_movil,0
transferencia,177.23,11,4,LATAM,104,4,192.52,0.9206,web,0
transferencia_internacional,362.61,8,6,domestic,15,2,381.02,0.9517,sucursal,0
transferencia,36.33,18,6,domestic,21,0,71.56,0.5077,cajero,0
retiro_cajero,70.15,12,4,domestic,69,1,69.38,1.0111,app_movil,0
transferencia,156.31,4,0,LATAM,11,0,119.3,1.3102,app_movil,0
retiro_cajero,78.94,14,4,EU,65,1,83.29,0.9478,sucursal,0
retiro_cajero,189.96,16,0,domestic,54,1,102.4,1.8551,sucursal,0
compra_pos,121.23,13,4,US,25,5,121.1,1.001,web,0
retiro_cajero,71.95,6,0,domestic,29,6,69.79,1.0309,app_movil,0
compra_pos,205.39,21,2,domestic,63,0,167.76,1.2243,sucursal,0
transferencia,51.11,21,1,domestic,31,1,54.01,0.9463,web,0
transferencia,138.29,9,4,US,26,1,124.03,1.115,cajero,0
transferencia,40.76,15,5,Asia,14,0,44.28,0.9205,sucursal,0
compra_pos,18.02,18,1,domestic,55,0,21.28,0.8468,web,0
compra_pos,23.28,15,5,domestic,33,0,28.26,0.8239,cajero,0
retiro_cajero,119.16,12,0,US,85,2,139.64,0.8533,web,0
pago_online,124.8,16,3,US,53,1,121.56,1.0267,sucursal,0
pago_online,29.76,14,4,EU,89,2,35.6,0.8359,web,0
retiro_cajero,48.24,17,5,domestic,90,2,59.51,0.8107,cajero,0
pago_online,61.8,10,0,domestic,143,2,69.64,0.8875,web,0
pago_online,9.69,7,6,domestic,86,3,24.61,0.3937,web,0
retiro_cajero,154.79,1,0,domestic,32,0,116.31,1.3308,cajero,0
pago_online,206.33,21,5,EU,32,1,245.58,0.8402,web,0
pago_online,112.91,15,0,domestic,99,2,112.2,1.0063,app_movil,0
compra_pos,34.96,17,4,domestic,70,2,56.01,0.6242,app_movil,0
transferencia,158.67,13,4,domestic,41,1,122.24,1.298,cajero,0
transferencia,29.24,16,1,domestic,77,2,41.84,0.6987,sucursal,0
transferencia,117.83,8,0,LATAM,44,3,133.05,0.8856,app_movil,0
transferencia,194.77,19,4,EU,45,1,207.57,0.9383,app_movil,0
retiro_cajero,79.36,14,4,domestic,43,1,50.64,1.5671,app_movil,0
pago_online,193.09,14,1,domestic,93,1,161.48,1.1958,app_movil,0
transferencia,57.77,16,5,domestic,43,0,74.18,0.7788,app_movil,0
compra_pos,26.66,8,3,LATAM,39,1,43.36,0.6148,cajero,0
transferencia,349.74,11,4,domestic,69,2,273.28,1.2798,sucursal,0
compra_pos,99.57,10,1,domestic,44,1,90.25,1.1032,app_movil,0
transferencia,84.87,14,4,domestic,81,3,153.98,0.5512,app_movil,0
transferencia,34.62,14,4,domestic,130,0,36.15,0.9576,web,0
retiro_cajero,92.54,18,0,LATAM,68,1,89.89,1.0294,app_movil,0
compra_pos,29.04,15,4,LATAM,58,1,43.8,0.663,app_movil,0
pago_online,74.67,9,3,EU,90,2,62.04,1.2035,sucursal,0
transferencia,100.28,16,2,domestic,57,2,162.72,0.6162,app_movil,0
retiro_cajero,217.93,18,6,domestic,114,1,353.66,0.6162,web,0
pago_online,51.36,17,3,LATAM,91,1,61.24,0.8387,app_movil,0
retiro_cajero,63.84,0,1,domestic,28,1,53.03,1.2038,app_movil,0
retiro_cajero,109.89,13,4,US,99,2,105.04,1.0462,app_movil,0
pago_online,29.83,0,4,domestic,53,3,22.69,1.3145,web,0
retiro_cajero,147.81,12,1,EU,35,3,217.92,0.6783,cajero,0
compra_pos,90.57,13,1,domestic,76,2,106.71,0.8488,web,0
transferencia,128.58,13,1,LATAM,59,0,294.51,0.4366,sucursal,0
compra_pos,98.29,17,1,domestic,50,0,99.32,0.9896,app_movil,0
transferencia,116.85,5,6,domestic,64,2,138.74,0.8423,sucursal,0
retiro_cajero,73.97,2,1,domestic,65,1,72.57,1.0192,app_movil,0
transferencia,101.04,10,5,domestic,47,1,125.07,0.8079,app_movil,0
pago_online,106.21,11,3,domestic,36,1,146.38,0.7256,app_movil,0
transferencia,69.86,20,4,domestic,105,2,88.39,0.7903,sucursal,0
pago_online,27.46,14,1,domestic,101,1,26.85,1.0229,web,0
transferencia,457.14,18,3,domestic,26,1,486.53,0.9396,web,0
transferencia,65.24,19,3,domestic,40,2,105.75,0.6169,web,0
compra_pos,47.59,18,2,domestic,52,3,56.19,0.8469,app_movil,0
transferencia,14.79,13,0,EU,52,2,27.41,0.5397,sucursal,0
transferencia,53.0,21,6,domestic,79,2,56.36,0.9404,app_movil,0
pago_online,36.64,19,0,domestic,96,2,58.5,0.6264,app_movil,0
compra_pos,76.38,21,6,domestic,27,0,127.51,0.599,app_movil,0
transferencia,243.8,11,1,domestic,100,2,135.26,1.8025,app_movil,0
transferencia,648.26,15,6,domestic,76,2,520.29,1.246,app_movil,0
compra_pos,95.69,14,5,domestic,28,3,63.04,1.518,app_movil,0
pago_online,209.4,16,6,Asia,43,4,362.44,0.5778,app_movil,0
transferencia,50.16,10,1,US,75,2,50.35,0.9962,web,0
retiro_cajero,44.98,23,5,domestic,72,1,72.76,0.6182,app_movil,0
pago_online,28.58,8,4,EU,89,3,27.21,1.0502,web,0
compra_pos,61.56,11,5,US,21,4,53.19,1.1574,app_movil,0
transferencia_internacional,44.33,12,6,domestic,20,2,38.23,1.1596,sucursal,0
pago_online,66.44,11,4,domestic,23,2,94.52,0.7029,web,0
compra_pos,128.8,14,2,US,90,0,110.39,1.1668,web,0
pago_online,58.22,6,1,domestic,37,3,48.5,1.2005,web,0
transferencia_internacional,538.51,18,2,domestic,48,1,506.87,1.0624,web,0
pago_online,201.42,9,2,domestic,25,0,172.28,1.1691,cajero,0
transferencia,72.09,14,1,domestic,43,1,44.63,1.6154,app_movil,0
transferencia,80.47,19,4,domestic,71,1,150.03,0.5364,app_movil,0
pago_online,35.87,12,1,EU,122,1,40.89,0.8773,app_movil,0
pago_online,98.41,14,0,domestic,28,0,95.3,1.0326,app_movil,0
retiro_cajero,284.06,8,0,US,42,4,315.35,0.9008,web,0
pago_online,14.16,9,3,domestic,44,0,24.37,0.5809,app_movil,0
transferencia,81.51,20,4,domestic,27,1,97.13,0.8391,cajero,0
transferencia_internacional,466.54,4,4,LATAM,8,3,83.11,5.6135,app_movil,1
retiro_cajero,38.52,18,5,domestic,62,3,75.47,0.5104,sucursal,0
transferencia,75.22,15,1,EU,23,1,62.12,1.2109,sucursal,0
retiro_cajero,61.09,22,2,domestic,46,3,45.17,1.3525,app_movil,0
transferencia,86.51,1,1,US,47,3,69.26,1.249,web,0
transferencia,222.3,13,1,US,147,1,226.02,0.9835,web,0
retiro_cajero,36.38,22,1,domestic,64,0,68.97,0.5275,web,0
compra_pos,298.68,23,6,domestic,53,0,314.21,0.9506,web,0
compra_pos,132.88,10,4,domestic,28,1,125.47,1.0591,app_movil,0
retiro_cajero,35.49,7,1,LATAM,91,1,31.21,1.1371,sucursal,0
transferencia,16.99,19,2,domestic,60,3,13.29,1.2782,sucursal,0
transferencia,222.69,11,4,domestic,54,3,139.86,1.5923,app_movil,0
transferencia,44.5,20,4,domestic,93,0,39.17,1.136,web,0
pago_online,45.91,21,1,domestic,53,2,61.04,0.7521,web,0
retiro_cajero,391.69,10,2,domestic,40,2,345.21,1.1346,app_movil,0
pago_online,50.62,16,5,domestic,31,3,66.33,0.7632,sucursal,0
transferencia_internacional,59.84,17,6,domestic,29,1,78.65,0.7609,app_movil,0
transferencia,180.58,15,3,domestic,83,0,145.89,1.2378,app_movil,0
pago_online,193.89,12,4,domestic,55,1,138.15,1.4035,sucursal,0
transferencia_internacional,154.64,9,3,US,69,0,172.88,0.8945,sucursal,0
pago_online,65.68,14,6,domestic,137,3,74.71,0.8791,web,0
transferencia_internacional,98.54,18,1,domestic,46,2,77.41,1.273,app_movil,0
pago_online,146.83,8,1,US,95,5,150.55,0.9753,web,0
retiro_cajero,21.53,11,1,Africa,193,3,24.37,0.8834,sucursal,0
pago_online,88.59,19,3,domestic,72,1,110.14,0.8043,cajero,0
retiro_cajero,77.77,15,1,EU,15,2,104.53,0.744,app_movil,0
compra_pos,139.18,6,2,domestic,27,2,110.72,1.257,sucursal,0
retiro_cajero,48.84,12,2,domestic,39,2,45.22,1.0801,app_movil,0
transferencia_internacional,1414.47,21,5,LATAM,6,5,375.98,3.7621,app_movil,1
transferencia_internacional,15.57,10,3,LATAM,28,5,14.42,1.0799,sucursal,0
pago_online,20.49,14,2,domestic,21,2,16.69,1.228,sucursal,0
pago_online,185.91,10,0,domestic,10,1,158.33,1.1742,app_movil,0
transferencia,44.9,18,4,EU,55,0,46.55,0.9645,app_movil,0
transferencia,45.72,10,6,EU,70,1,83.1,0.5502,cajero,0
pago_online,128.8,9,1,domestic,39,1,151.75,0.8487,web,0
retiro_cajero,40.97,15,1,EU,44,2,28.38,1.4436,app_movil,0
transferencia_internacional,233.85,12,6,EU,121,0,226.8,1.0311,cajero,0
pago_online,36.77,18,4,LATAM,62,2,30.94,1.1883,web,0
transferencia,105.54,15,6,domestic,26,2,139.74,0.7553,web,0
compra_pos,304.6,9,0,domestic,24,4,412.45,0.7385,app_movil,0
transferencia_internacional,82.99,8,5,domestic,65,3,73.99,1.1217,cajero,0
pago_online,133.02,8,5,domestic,113,0,103.12,1.2899,web,0
compra_pos,43.29,17,5,domestic,21,0,155.64,0.2781,cajero,0
transferencia_internacional,13.49,16,0,EU,51,3,134.91,0.1,app_movil,0
retiro_cajero,28.12,19,1,domestic,128,0,50.97,0.5517,web,0
transferencia,60.9,22,4,domestic,41,1,222.17,0.2741,app_movil,0
compra_pos,77.07,18,2,Africa,21,3,85.8,0.8983,app_movil,0
retiro_cajero,200.32,21,3,domestic,44,1,165.82,1.2081,web,0
retiro_cajero,52.66,17,4,domestic,69,1,86.48,0.6089,web,0
compra_pos,35.93,5,0,domestic,17,5,33.46,1.0738,web,0
transferencia_internacional,16.27,9,1,EU,21,0,17.35,0.9379,web,0
compra_pos,123.59,16,0,domestic,74,2,99.32,1.2444,web,0
transferencia,41.69,18,3,EU,107,2,48.13,0.8663,web,0
pago_online,36.92,13,3,domestic,110,1,30.35,1.2166,sucursal,0
transferencia,71.36,8,1,domestic,65,1,63.57,1.1225,cajero,0
transferencia,60.42,7,0,domestic,18,2,51.41,1.1753,web,0
retiro_cajero,12.6,11,4,EU,51,3,12.12,1.04,web,0
compra_pos,31.04,13,0,US,58,2,92.55,0.3354,app_movil,0
transferencia,36.56,15,1,EU,20,1,32.03,1.1414,app_movil,0
transferencia,156.65,19,6,domestic,16,4,87.44,1.7916,web,0
transferencia,177.57,16,4,domestic,78,1,136.33,1.3025,sucursal,0
retiro_cajero,137.67,17,2,EU,62,1,251.66,0.547,sucursal,0
retiro_cajero,116.99,11,1,domestic,43,3,101.08,1.1574,web,0
transferencia,138.39,19,2,domestic,80,2,116.88,1.184,app_movil,0
retiro_cajero,98.39,15,4,domestic,67,0,67.18,1.4646,cajero,0
pago_online,33.21,11,6,domestic,74,3,56.98,0.5829,web,0
compra_pos,96.14,14,4,EU,61,1,140.05,0.6865,app_movil,0
compra_pos,25.76,16,0,domestic,30,1,26.43,0.9745,web,0
transferencia,266.46,23,2,EU,42,2,218.5,1.2195,cajero,0
pago_online,68.06,21,3,domestic,39,4,55.07,1.2359,app_movil,0
transferencia,232.9,12,1,domestic,49,2,263.4,0.8842,web,0
transferencia,67.35,13,1,domestic,101,2,59.67,1.1288,app_movil,0
transferencia,104.27,10,2,EU,100,0,89.7,1.1624,app_movil,0
transferencia,58.18,6,4,domestic,34,1,84.8,0.686,app_movil,0
retiro_cajero,89.21,7,2,domestic,123,0,94.63,0.9427,app_movil,0
transferencia,39.26,20,2,domestic,26,3,81.85,0.4797,app_movil,0
compra_pos,160.88,5,5,Africa,95,2,124.51,1.2921,web,0
pago_online,34.88,20,5,domestic,88,2,52.15,0.6688,cajero,0
retiro_cajero,153.26,13,5,domestic,53,2,169.11,0.9063,web,0
retiro_cajero,228.26,11,3,domestic,144,2,181.63,1.2568,app_movil,0
retiro_cajero,398.95,9,4,US,45,1,279.31,1.4283,app_movil,0
retiro_cajero,38.1,7,2,domestic,61,3,29.8,1.2785,web,0
transferencia,146.63,14,1,domestic,37,1,149.58,0.9803,app_movil,0
retiro_cajero,87.68,15,4,domestic,68,2,84.1,1.0426,web,0
transferencia,143.44,8,5,domestic,17,0,141.69,1.0124,sucursal,0
pago_online,185.19,16,4,domestic,63,3,128.54,1.4407,app_movil,0
transferencia,28.1,9,1,domestic,42,2,37.72,0.7451,app_movil,0
pago_online,245.53,10,3,domestic,14,2,176.29,1.3927,web,0
retiro_cajero,92.45,9,2,domestic,39,0,80.72,1.1453,sucursal,0
retiro_cajero,19.66,11,2,EU,12,2,21.97,0.8949,sucursal,0
transferencia,67.25,16,6,domestic,52,1,74.76,0.8995,web,0
retiro_cajero,105.8,19,0,domestic,10,1,86.56,1.2222,web,0
pago_online,114.26,16,5,domestic,32,0,111.15,1.0279,sucursal,0
retiro_cajero,108.74,18,2,EU,70,2,152.65,0.7123,app_movil,0
compra_pos,59.69,15,3,domestic,64,1,40.37,1.4786,app_movil,0
transferencia,123.33,0,0,domestic,86,1,110.14,1.1198,cajero,0
compra_pos,413.67,14,3,domestic,84,0,327.57,1.2628,sucursal,0
transferencia,293.4,7,6,domestic,2,5,147.98,1.9827,web,1
transferencia,81.77,16,3,US,71,3,90.51,0.9034,app_movil,0
pago_online,138.12,18,3,domestic,40,2,117.31,1.1774,app_movil,0
retiro_cajero,237.29,12,0,domestic,24,1,256.03,0.9268,app_movil,0
compra_pos,106.84,16,3,US,51,2,66.75,1.6005,app_movil,0
compra_pos,62.17,19,3,domestic,127,1,51.96,1.1965,web,0
transferencia,39.25,13,3,US,40,3,93.19,0.4212,app_movil,0
compra_pos,16.09,21,5,domestic,24,0,21.8,0.7382,cajero,0
compra_pos,66.8,10,1,domestic,57,0,44.16,1.5127,cajero,0
transferencia,174.14,19,0,domestic,61,1,223.23,0.7801,web,0
pago_online,63.75,14,1,US,40,2,49.49,1.2882,sucursal,0
transferencia,18.91,9,2,US,83,4,19.18,0.9861,web,0
transferencia,194.28,19,2,domestic,66,2,239.72,0.8104,cajero,0
compra_pos,208.03,9,6,domestic,105,0,202.34,1.0281,web,0
pago_online,91.0,7,1,domestic,35,1,99.14,0.9178,cajero,0
retiro_cajero,100.69,7,3,US,59,1,73.47,1.3705,app_movil,0
retiro_cajero,26.22,4,5,domestic,86,4,27.83,0.9423,app_movil,0
compra_pos,24.25,14,5,domestic,121,0,25.45,0.953,app_movil,0
compra_pos,23.5,20,0,domestic,94,0,17.82,1.3187,app_movil,0
compra_pos,62.55,8,0,EU,74,0,67.12,0.932,web,0
transferencia_internacional,143.36,10,0,domestic,44,4,157.4,0.9108,sucursal,0
pago_online,468.21,10,2,domestic,67,0,380.18,1.2316,cajero,0
retiro_cajero,43.46,9,3,domestic,74,1,40.02,1.0859,app_movil,0
pago_online,43.63,15,0,domestic,17,1,47.79,0.9129,web,0
pago_online,126.66,11,3,US,45,1,93.85,1.3496,app_movil,0
pago_online,399.46,11,6,domestic,37,3,249.16,1.6032,app_movil,0
transferencia,121.83,12,4,domestic,12,3,86.34,1.4111,sucursal,0
compra_pos,238.68,14,4,EU,23,3,271.17,0.8802,cajero,0
transferencia,34.21,11,2,domestic,64,4,33.15,1.032,app_movil,0
pago_online,58.52,18,2,domestic,76,2,48.34,1.2106,cajero,0
transferencia,149.97,17,4,domestic,30,1,120.15,1.2482,cajero,0
transferencia,64.41,9,3,domestic,26,2,111.03,0.5801,app_movil,0
transferencia_internacional,143.42,14,3,EU,100,3,111.2,1.2897,web,0
pago_online,203.33,7,2,EU,99,0,186.1,1.0926,web,0
compra_pos,18.36,15,0,domestic,14,2,32.4,0.5667,web,0
transferencia,152.31,20,2,domestic,95,4,170.13,0.8953,app_movil,0
compra_pos,33.7,17,4,domestic,20,4,32.23,1.0456,sucursal,0
retiro_cajero,24.04,8,5,domestic,58,1,42.79,0.5618,app_movil,0
pago_online,105.82,19,0,LATAM,53,1,83.98,1.2601,app_movil,0
transferencia,118.07,12,0,domestic,76,0,89.53,1.3188,cajero,0
transferencia,140.49,12,3,domestic,69,0,115.34,1.2181,web,0
retiro_cajero,55.57,14,4,domestic,89,1,66.56,0.8349,web,0
transferencia,55.89,18,0,domestic,58,3,53.12,1.0521,web,0
retiro_cajero,203.02,13,0,domestic,67,2,175.65,1.1558,app_movil,0
retiro_cajero,47.28,16,3,LATAM,29,1,69.35,0.6817,sucursal,0
compra_pos,45.85,20,3,domestic,56,1,51.61,0.8884,app_movil,0
compra_pos,169.78,13,4,domestic,16,2,166.44,1.0201,app_movil,0
transferencia,12.85,21,0,Africa,13,1,9.54,1.3467,app_movil,0
transferencia,85.73,11,4,Asia,53,2,85.65,1.0009,sucursal,0
retiro_cajero,146.94,22,3,domestic,26,4,255.0,0.5762,web,0
transferencia,120.16,19,6,domestic,53,1,107.08,1.1222,web,0
transferencia,10.94,19,6,domestic,47,0,12.52,0.8736,web,0
pago_online,89.1,19,1,domestic,72,1,77.74,1.1461,app_movil,0
transferencia,150.37,7,4,domestic,8,3,118.96,1.264,cajero,0
pago_online,242.44,10,5,domestic,102,2,355.17,0.6826,web,0
transferencia,26.3,9,0,domestic,96,3,48.31,0.5444,app_movil,0
pago_online,34.19,19,2,domestic,13,1,32.27,1.0593,app_movil,0
retiro_cajero,72.79,22,5,domestic,63,1,61.65,1.1806,app_movil,0
transferencia,63.02,15,4,domestic,46,2,109.69,0.5745,sucursal,0
transferencia,224.49,16,2,domestic,55,1,212.06,1.0586,app_movil,0
pago_online,334.24,19,6,Africa,125,2,233.16,1.4335,app_movil,0
retiro_cajero,55.89,18,1,domestic,89,1,30.39,1.8392,sucursal,0
retiro_cajero,302.11,22,0,US,50,1,230.61,1.31,cajero,0
pago_online,332.34,14,5,domestic,142,1,283.32,1.173,web,0
pago_online,163.82,9,0,Africa,16,2,166.6,0.9833,web,0
transferencia,750.99,19,1,domestic,63,1,824.88,0.9104,sucursal,0
pago_online,138.39,12,5,domestic,123,2,150.43,0.92,web,0
compra_pos,205.32,11,1,domestic,69,3,168.57,1.218,web,0
retiro_cajero,46.43,10,4,domestic,28,0,44.97,1.0324,app_movil,0
retiro_cajero,154.03,14,3,LATAM,19,0,191.4,0.8047,web,0
pago_online,93.29,15,5,domestic,31,2,71.98,1.2961,app_movil,0
retiro_cajero,28.61,8,0,domestic,19,0,26.28,1.0888,app_movil,0
retiro_cajero,395.18,14,3,domestic,92,2,277.03,1.4265,web,0
pago_online,115.4,15,0,domestic,44,0,94.83,1.2169,cajero,0
pago_online,42.79,8,2,domestic,46,1,50.08,0.8544,web,0
retiro_cajero,207.3,9,0,US,80,2,154.65,1.3404,cajero,0
