loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
36875, 36 months,12.53,1234.13,C,C1,< 1 year,RENT,201588,Not Verified,debt_consolidation,12.41,1,12,0,3922,37.5,26,Fully Paid
21175, 36 months,16.6,750.74,D,D3,2 years,RENT,36505,Verified,educational,13.21,0,8,0,21571,17.8,20,Charged Off
6275, 36 months,11.9,208.12,B,B4,10+ years,RENT,109120,Verified,home_improvement,16.29,0,13,3,10713,54.4,28,Fully Paid
7975, 36 months,6.35,243.88,B,B4,3 years,OTHER,79537,Verified,house,8.72,3,15,0,24429,31.2,33,Current
17025, 36 months,8.52,537.6,A,A5,3 years,RENT,111277,Not Verified,small_business,20.07,0,12,0,7483,56.6,34,Fully Paid
13825, 36 months,7.98,433.1,B,B2,< 1 year,MORTGAGE,37021,Source Verified,debt_consolidation,18.23,0,11,1,106344,43.9,29,Fully Paid
17150, 36 months,16.34,605.83,D,D3,3 years,RENT,19349,Verified,debt_consolidation,11.31,0,10,0,12251,29.9,29,Charged Off
8350, 60 months,8.41,170.95,B,B2,10+ years,RENT,56138,Verified,debt_consolidation,19.96,0,5,0,1254,37.0,16,Fully Paid
12975, 36 months,15.78,454.75,C,C3,10+ years,MORTGAGE,95068,Verified,small_business,8.28,0,15,0,11514,37.3,22,Fully Paid
7975, 36 months,15.75,279.39,D,D4,4 years,MORTGAGE,49369,Verified,credit_card,19.06,0,9,1,4225,11.5,23,Current
26225, 36 months,7.28,813.11,A,A5,3 years,RENT,54805,Verified,debt_consolidation,23.55,0,18,2,56345,43.8,33,Fully Paid
3400, 36 months,13.86,115.97,C,C2,10+ years,MORTGAGE,195881,Verified,house,19.25,0,10,0,3546,19.4,27,Charged Off
3400, 36 months,7.76,106.17,B,B4,10+ years,RENT,38696,Verified,other,20.93,0,11,3,40024,63.2,32,Fully Paid
6000, 36 months,23.85,234.92,F,F3,4 years,MORTGAGE,104323,Source Verified,other,21.47,4,13,0,2256,23.1,30,Charged Off
6150, 36 months,14.81,212.62,C,C2,< 1 year,RENT,33239,Source Verified,debt_consolidation,19.26,0,10,0,4793,11.2,28,Current
3375, 36 months,15.19,117.31,D,D2,10+ years,MORTGAGE,119383,Verified,debt_consolidation,16.1,0,8,0,2773,42.4,20,Charged Off
2975, 36 months,14.24,102.03,C,C4,10+ years,RENT,57418,Verified,home_improvement,14.47,0,12,0,11063,25.5,29,Current
20900, 36 months,6.0,635.82,A,A2,10+ years,MORTGAGE,80257,Not Verified,credit_card,26.01,0,12,0,32937,47.1,21,Fully Paid
8800, 36 months,14.75,303.98,C,C5,4 years,RENT,40719,Verified,home_improvement,20.96,0,12,0,3473,8.1,29,Fully Paid
8350, 36 months,26.62,339.19,F,F5,10+ years,MORTGAGE,63354,Verified,car,26.42,0,14,0,1893,31.5,22,Charged Off
10275, 36 months,9.99,331.5,C,C4,10+ years,RENT,66254,Verified,debt_consolidation,24.45,0,12,1,14736,50.9,31,Fully Paid
30275, 36 months,14.49,1041.95,D,D3,10+ years,MORTGAGE,25637,Source Verified,debt_consolidation,10.29,0,9,0,6177,52.4,27,Fully Paid
10725, 36 months,19.34,394.98,E,E4,10+ years,MORTGAGE,44534,Verified,credit_card,12.6,0,11,0,3708,35.7,21,Charged Off
9150, 36 months,11.7,302.6,B,B5,1 year,OWN,70285,Not Verified,credit_card,7.87,0,15,0,6059,45.9,31,Fully Paid
6325, 60 months,10.3,135.32,B,B1,10+ years,OWN,38091,Verified,debt_consolidation,8.82,3,11,1,17194,73.8,15,Fully Paid
15050, 36 months,11.13,493.64,C,C1,4 years,MORTGAGE,66517,Verified,medical,7.99,0,10,0,24492,58.4,19,Fully Paid
9450, 36 months,10.52,307.24,B,B2,10+ years,MORTGAGE,53579,Not Verified,credit_card,6.66,1,9,0,3960,60.4,27,Fully Paid
31450, 36 months,18.63,1146.96,E,E2,10+ years,MORTGAGE,85529,Verified,credit_card,14.95,0,12,0,15442,53.1,24,Fully Paid
8825, 60 months,21.31,240.29,E,E1,10+ years,MORTGAGE,54117,Source Verified,debt_consolidation,26.31,0,12,0,5451,20.1,24,Fully Paid
20025, 36 months,10.31,649.07,B,B5,4 years,MORTGAGE,249827,Source Verified,debt_consolidation,18.95,0,14,0,6808,43.3,27,Fully Paid
6000, 60 months,8.12,122.0,B,B2,2 years,RENT,18367,Verified,renewable_energy,21.72,6,5,0,6032,23.9,13,Fully Paid
5975, 60 months,16.4,146.57,D,D4,< 1 year,RENT,37204,Not Verified,home_improvement,16.8,0,11,0,4027,43.3,30,Fully Paid
2750, 36 months,11.34,90.47,B,B4,3 years,MORTGAGE,89936,Source Verified,small_business,17.42,2,11,0,36583,2.5,27,Fully Paid
17250, 36 months,13.66,586.72,D,D5,5 years,MORTGAGE,66927,Verified,debt_consolidation,22.44,0,14,0,1443,27.4,31,Fully Paid
9625, 36 months,9.95,310.35,B,B2,10+ years,MORTGAGE,77791,Source Verified,debt_consolidation,15.41,0,9,0,11986,36.0,32,Fully Paid
15475, 36 months,11.34,509.13,C,C4,7 years,RENT,12000,Verified,debt_consolidation,17.29,0,13,0,28223,15.0,26,Charged Off
32425, 36 months,6.48,993.5,A,A2,8 years,MORTGAGE,53677,Not Verified,debt_consolidation,13.97,0,11,0,1593,35.1,28,Fully Paid
5450, 36 months,13.69,185.45,C,C2,10+ years,OWN,60096,Source Verified,credit_card,10.1,0,17,1,10288,66.4,29,Fully Paid
4900, 36 months,12.52,163.97,B,B4,10+ years,RENT,86253,Not Verified,debt_consolidation,15.62,0,17,0,9682,75.7,33,Fully Paid
5700, 36 months,12.96,191.95,C,C1,8 years,MORTGAGE,74112,Source Verified,debt_consolidation,10.28,0,11,0,30547,11.0,22,Fully Paid
2250, 60 months,8.7,46.38,A,A4,1 year,OTHER,60344,Not Verified,debt_consolidation,23.39,0,16,0,1926,54.0,28,Fully Paid
8625, 36 months,15.24,300.0,D,D5,3 years,RENT,56317,Verified,credit_card,20.0,0,8,1,70003,36.6,25,Fully Paid
18375, 60 months,19.26,479.29,E,E3,6 years,OWN,28120,Verified,vacation,29.84,0,13,0,7878,61.0,30,Fully Paid
10225, 36 months,10.38,331.76,B,B4,10+ years,OWN,73645,Not Verified,debt_consolidation,12.02,0,15,0,34688,15.4,33,Charged Off
3275, 36 months,6.8,100.82,A,A2,10+ years,RENT,55613,Verified,debt_consolidation,9.5,2,8,2,35381,31.3,24,Fully Paid
7700, 36 months,6.01,234.28,A,A2,10+ years,RENT,46207,Not Verified,home_improvement,8.93,0,9,0,1407,35.0,24,Fully Paid
10800, 60 months,12.47,242.81,C,C4,10+ years,RENT,59404,Verified,home_improvement,30.88,2,14,0,4720,60.3,33,Fully Paid
19400, 36 months,15.0,672.51,C,C3,10+ years,RENT,48249,Verified,credit_card,14.03,2,10,0,26395,50.8,22,Fully Paid
17275, 60 months,12.57,389.27,C,C4,10+ years,OWN,25127,Not Verified,debt_consolidation,9.03,3,9,0,6149,36.3,19,Fully Paid
7750, 36 months,7.97,242.75,B,B3,10+ years,RENT,88800,Not Verified,medical,19.85,0,16,0,19824,73.4,36,Current
7750, 60 months,8.22,157.96,B,B3,2 years,OWN,184076,Not Verified,moving,14.39,0,13,0,5491,12.7,31,Fully Paid
15000, 60 months,14.0,349.02,C,C5,< 1 year,RENT,70710,Not Verified,home_improvement,11.26,0,9,0,9886,60.7,22,Fully Paid
6525, 60 months,16.38,160.0,C,C2,5 years,OWN,71483,Source Verified,credit_card,29.81,1,7,0,2355,64.8,23,Current
18000, 36 months,26.21,727.25,G,G2,10+ years,RENT,147228,Source Verified,debt_consolidation,15.54,1,14,0,7034,51.5,21,Fully Paid
6225, 36 months,9.72,200.05,A,A3,10+ years,MORTGAGE,187568,Not Verified,debt_consolidation,20.63,0,16,0,3101,45.6,30,Fully Paid
29300, 36 months,16.48,1037.06,D,D2,3 years,RENT,53882,Source Verified,debt_consolidation,19.55,0,10,0,8808,45.9,28,Charged Off
11650, 36 months,9.08,370.9,B,B1,10+ years,RENT,38819,Not Verified,debt_consolidation,48.74,0,9,0,11060,68.2,24,Fully Paid
2500, 36 months,8.13,78.49,B,B3,4 years,RENT,77798,Source Verified,small_business,15.17,0,13,0,64122,75.2,23,Fully Paid
15475, 60 months,16.2,377.97,D,D2,10+ years,RENT,65808,Verified,car,11.03,0,12,0,8157,29.6,29,Fully Paid
11825, 36 months,15.37,412.06,D,D1,7 years,RENT,106907,Source Verified,medical,12.53,1,7,0,2644,20.3,18,Charged Off
13900, 60 months,25.75,414.12,G,G5,< 1 year,MORTGAGE,60008,Source Verified,other,24.43,0,11,0,13505,48.4,27,Fully Paid
40000, 36 months,5.0,1198.84,A,A2,2 years,RENT,62695,Source Verified,other,18.18,0,12,0,2089,39.1,35,Fully Paid
8225, 36 months,9.15,262.13,A,A1,1 year,MORTGAGE,33651,Source Verified,credit_card,13.62,0,14,0,5172,48.1,24,Current
3325, 36 months,18.1,120.37,D,D4,< 1 year,MORTGAGE,110503,Not Verified,car,18.86,0,11,1,10180,62.1,25,Fully Paid
24025, 60 months,13.41,551.7,C,C4,10+ years,MORTGAGE,40895,Verified,credit_card,27.98,0,8,0,2239,27.8,25,Fully Paid
2825, 36 months,9.28,90.2,B,B1,2 years,OWN,29259,Source Verified,debt_consolidation,31.94,1,14,0,4492,43.8,18,Fully Paid
5850, 60 months,6.49,114.43,A,A3,10+ years,MORTGAGE,12191,Not Verified,credit_card,19.06,0,16,0,4511,43.0,33,Fully Paid
10175, 36 months,5.33,306.46,A,A3,3 years,MORTGAGE,56347,Not Verified,debt_consolidation,25.9,0,12,0,2194,43.1,22,Fully Paid
5275, 60 months,18.3,134.81,E,E2,< 1 year,RENT,39095,Verified,credit_card,9.31,0,10,1,43874,43.3,20,Fully Paid
9450, 36 months,10.58,307.5,B,B4,10+ years,MORTGAGE,52040,Not Verified,debt_consolidation,21.09,0,14,0,4973,44.6,29,Current
8975, 36 months,9.11,285.86,B,B3,6 years,MORTGAGE,44656,Source Verified,credit_card,15.3,0,11,0,2328,62.4,24,Fully Paid
29000, 36 months,9.99,935.61,B,B3,9 years,RENT,48089,Not Verified,debt_consolidation,10.39,0,7,0,50307,17.7,23,Fully Paid
1800, 60 months,7.01,35.65,B,B4,4 years,MORTGAGE,36530,Not Verified,debt_consolidation,11.33,0,14,0,35187,46.5,27,Fully Paid
10500, 36 months,6.03,319.57,A,A5,< 1 year,RENT,38225,Source Verified,debt_consolidation,11.86,0,12,0,7731,29.8,21,Fully Paid
5175, 60 months,11.27,113.22,C,C3,5 years,RENT,33878,Not Verified,debt_consolidation,18.49,0,13,1,1915,11.4,26,Fully Paid
6675, 36 months,7.23,206.81,A,A1,7 years,MORTGAGE,53209,Not Verified,debt_consolidation,10.56,0,8,0,37259,53.0,25,Fully Paid
15925, 36 months,17.99,575.65,D,D2,< 1 year,RENT,30118,Source Verified,moving,21.83,0,7,0,5940,38.9,19,Fully Paid
14200, 36 months,11.69,469.54,B,B3,9 years,RENT,127349,Source Verified,small_business,24.18,0,13,0,4506,5.0,28,Fully Paid
12575, 36 months,12.06,418.03,C,C3,10+ years,RENT,59549,Not Verified,debt_consolidation,15.68,0,10,0,4195,59.3,29,Fully Paid
4100, 36 months,18.31,148.86,E,E5,2 years,RENT,23831,Not Verified,debt_consolidation,15.14,0,12,0,13236,57.8,27,Fully Paid
22700, 60 months,12.37,509.2,C,C1,10+ years,RENT,68313,Not Verified,major_purchase,17.51,0,8,0,3935,34.2,19,Fully Paid
5350, 60 months,11.95,118.87,C,C2,1 year,RENT,34930,Source Verified,wedding,13.5,1,7,1,5296,35.3,18,Charged Off
26100, 36 months,10.15,844.01,B,B3,10+ years,RENT,112079,Source Verified,debt_consolidation,29.5,0,10,0,1915,56.8,29,Fully Paid
6275, 60 months,7.4,125.44,B,B2,10+ years,RENT,41443,Not Verified,debt_consolidation,7.13,0,4,0,2145,19.7,15,Fully Paid
20350, 36 months,10.37,660.18,C,C4,3 years,RENT,138139,Not Verified,debt_consolidation,14.09,1,10,0,20282,19.2,32,Fully Paid
10625, 36 months,26.48,430.81,G,G3,10+ years,MORTGAGE,109079,Not Verified,home_improvement,8.79,1,16,0,6918,3.0,35,Current
3050, 36 months,14.09,104.38,C,C3,5 years,RENT,500000,Not Verified,credit_card,20.71,1,9,0,3009,68.7,28,Charged Off
7700, 36 months,11.46,253.77,C,C4,1 year,MORTGAGE,63479,Source Verified,debt_consolidation,17.91,0,12,0,5365,54.7,25,Fully Paid
32575, 36 months,17.77,1173.91,D,D5,9 years,MORTGAGE,90554,Not Verified,credit_card,22.23,0,13,0,5459,12.3,35,Fully Paid
17600, 36 months,13.55,597.69,C,C3,10+ years,MORTGAGE,60328,Verified,debt_consolidation,17.53,0,3,0,2159,21.5,21,Current
7275, 36 months,8.82,230.73,A,A2,10+ years,MORTGAGE,63008,Source Verified,car,19.24,1,13,0,5129,27.8,26,Fully Paid
24650, 60 months,11.8,545.84,C,C1,3 years,RENT,125465,Not Verified,major_purchase,11.6,0,9,0,6216,14.4,28,Charged Off
12050, 36 months,21.59,457.64,F,F2,9 years,OTHER,95180,Verified,other,17.45,1,15,0,1050,75.3,28,Fully Paid
31250, 60 months,7.4,624.7,A,A5,1 year,RENT,56655,Source Verified,debt_consolidation,12.03,0,15,0,6604,28.3,31,Fully Paid
9350, 60 months,16.92,231.97,D,D1,6 years,RENT,132258,Verified,debt_consolidation,21.01,0,12,2,5171,23.3,23,Fully Paid
8050, 36 months,9.8,259.0,B,B2,8 years,RENT,109181,Not Verified,car,11.26,0,12,0,6242,48.3,21,Current
19750, 36 months,11.43,650.62,C,C2,4 years,OWN,152349,Source Verified,debt_consolidation,13.38,0,12,0,13281,58.8,23,Charged Off
11800, 36 months,7.66,367.92,A,A4,7 years,OWN,124515,Source Verified,credit_card,15.9,2,4,0,15817,38.0,21,Fully Paid
14600, 60 months,8.55,299.89,B,B5,10+ years,OWN,48432,Source Verified,credit_card,30.35,0,15,0,3068,62.5,29,Fully Paid
5400, 60 months,16.8,133.62,D,D4,7 years,MORTGAGE,45419,Source Verified,moving,16.65,2,8,2,14456,31.0,26,Fully Paid
22450, 60 months,8.81,463.96,B,B1,10+ years,OWN,46384,Not Verified,debt_consolidation,36.91,1,16,0,5513,1.6,31,Fully Paid
19675, 36 months,13.53,667.96,C,C4,4 years,RENT,95657,Source Verified,major_purchase,28.59,0,18,0,36690,50.2,33,Fully Paid
25475, 60 months,14.71,602.18,D,D5,10+ years,MORTGAGE,134019,Source Verified,debt_consolidation,14.56,0,11,0,16777,31.6,23,Fully Paid
3800, 36 months,20.75,142.68,E,E3,1 year,OWN,112983,Not Verified,debt_consolidation,19.33,1,9,0,7914,50.6,17,Fully Paid
4375, 36 months,10.49,142.18,B,B3,9 years,MORTGAGE,25416,Not Verified,small_business,20.53,0,12,0,5901,48.6,32,Current
5850, 36 months,9.67,187.86,B,B1,10+ years,RENT,38998,Verified,small_business,5.06,0,12,0,3843,77.6,26,Charged Off
8350, 60 months,8.97,173.21,A,A3,10+ years,MORTGAGE,90214,Source Verified,debt_consolidation,8.28,1,13,0,5024,22.0,30,Fully Paid
3875, 60 months,27.31,119.04,G,G4,2 years,RENT,125165,Source Verified,other,19.68,0,11,0,1357,75.1,20,Fully Paid
15450, 36 months,21.38,585.1,E,E1,5 years,RENT,72031,Not Verified,debt_consolidation,20.18,0,13,0,9418,22.2,25,Fully Paid
7275, 60 months,13.14,166.05,C,C5,10+ years,MORTGAGE,149761,Verified,home_improvement,17.47,0,5,0,3613,80.9,24,Charged Off
23825, 60 months,21.24,647.77,E,E1,4 years,RENT,19256,Source Verified,home_improvement,10.53,1,10,0,8805,31.3,24,Fully Paid
40000, 36 months,10.7,1303.87,C,C1,10+ years,RENT,52806,Verified,home_improvement,43.15,0,10,0,3024,10.6,23,Fully Paid
6525, 36 months,13.05,220.01,C,C2,5 years,MORTGAGE,140124,Not Verified,debt_consolidation,20.63,0,5,1,11579,40.3,19,Fully Paid
5775, 36 months,5.0,173.08,A,A2,4 years,MORTGAGE,73385,Not Verified,credit_card,24.72,0,18,4,13696,42.4,33,Fully Paid
16675, 36 months,16.71,592.11,D,D1,1 year,RENT,36937,Not Verified,debt_consolidation,23.88,0,12,0,11447,42.9,24,Charged Off
10575, 36 months,7.08,326.91,A,A3,< 1 year,RENT,96173,Not Verified,other,17.44,2,11,0,10252,78.4,27,Charged Off
12800, 36 months,17.71,460.89,D,D2,10+ years,OWN,65019,Not Verified,debt_consolidation,17.01,0,15,2,827,43.4,32,Fully Paid
25075, 60 months,17.23,626.28,D,D5,7 years,RENT,45379,Not Verified,major_purchase,23.6,1,5,0,8764,31.4,24,Charged Off
8175, 36 months,15.99,287.37,D,D4,8 years,MORTGAGE,23319,Source Verified,car,13.34,0,15,0,3953,31.9,25,Fully Paid
4675, 36 months,5.37,140.89,A,A2,5 years,OWN,90921,Not Verified,debt_consolidation,24.27,1,9,0,7061,74.1,23,Fully Paid
4175, 36 months,5.99,126.99,B,B1,1 year,MORTGAGE,31193,Not Verified,major_purchase,17.64,1,16,0,5319,55.9,31,Fully Paid
8725, 36 months,9.6,279.9,B,B3,6 years,RENT,216492,Not Verified,debt_consolidation,20.84,0,14,0,3533,47.5,23,Fully Paid
7725, 60 months,11.21,168.77,B,B4,2 years,RENT,20548,Not Verified,major_purchase,17.66,0,10,0,4535,24.5,28,Charged Off
18125, 36 months,6.66,556.83,A,A2,10+ years,MORTGAGE,61875,Not Verified,other,11.53,3,12,0,11065,8.9,31,Fully Paid
26225, 36 months,23.87,1027.09,F,F3,10+ years,MORTGAGE,93988,Source Verified,debt_consolidation,15.38,0,14,0,23464,48.4,24,Charged Off
26150, 60 months,13.21,597.81,C,C3,10+ years,MORTGAGE,32525,Verified,debt_consolidation,26.8,0,12,0,7424,25.0,27,Charged Off
6050, 36 months,8.92,192.16,B,B3,8 years,RENT,39115,Source Verified,medical,21.28,0,14,0,61659,43.7,26,Current
5625, 60 months,9.79,118.93,B,B1,10+ years,RENT,99720,Verified,small_business,25.58,0,12,1,3988,60.1,24,Fully Paid
2775, 36 months,8.89,88.1,B,B5,10+ years,RENT,33845,Not Verified,home_improvement,23.95,7,10,0,31275,53.4,19,Fully Paid
9900, 36 months,11.65,327.17,C,C3,8 years,MORTGAGE,189544,Not Verified,debt_consolidation,13.09,0,9,0,3561,69.1,28,Current
18375, 60 months,12.89,417.05,C,C4,10+ years,MORTGAGE,61906,Not Verified,credit_card,8.81,0,15,0,7218,36.0,31,Charged Off
6025, 36 months,19.85,223.45,E,E2,10+ years,RENT,46550,Not Verified,credit_card,23.08,0,13,0,4080,80.0,27,Fully Paid
3500, 36 months,15.81,122.72,C,C4,10+ years,MORTGAGE,158463,Source Verified,debt_consolidation,15.36,1,7,0,5921,20.8,23,Fully Paid
37050, 36 months,25.79,1488.63,G,G1,10+ years,MORTGAGE,31724,Not Verified,house,21.68,1,10,0,16647,47.2,27,Charged Off
6025, 36 months,19.76,223.17,E,E1,10+ years,OWN,169034,Not Verified,debt_consolidation,28.79,0,6,2,7862,36.8,16,Fully Paid
9125, 60 months,9.12,189.95,B,B4,10+ years,MORTGAGE,33208,Verified,other,14.27,3,11,0,6205,52.2,23,Charged Off
7125, 60 months,23.33,202.21,F,F5,10+ years,MORTGAGE,127477,Verified,credit_card,12.12,0,8,0,30397,65.1,22,Charged Off
3875, 36 months,7.27,120.13,A,A1,5 years,MORTGAGE,183257,Verified,major_purchase,10.93,1,16,0,2851,54.7,42,Fully Paid
18600, 36 months,19.86,689.92,D,D1,10+ years,MORTGAGE,56252,Not Verified,debt_consolidation,16.3,0,12,0,2391,43.3,17,Current
2900, 60 months,9.02,60.23,B,B4,1 year,MORTGAGE,56145,Verified,debt_consolidation,9.35,0,12,1,1612,92.6,22,Fully Paid
21725, 60 months,20.77,584.93,E,E1,10+ years,MORTGAGE,50460,Verified,credit_card,18.93,0,13,0,6824,14.8,30,Fully Paid
11925, 36 months,17.13,425.93,E,E5,3 years,RENT,37453,Source Verified,debt_consolidation,19.3,0,13,0,7323,35.0,23,Fully Paid
8200, 60 months,15.91,199.02,D,D5,5 years,MORTGAGE,62999,Not Verified,car,19.26,0,9,0,972,41.4,25,Fully Paid
8275, 36 months,18.83,302.62,D,D5,10+ years,RENT,103160,Not Verified,educational,8.36,0,12,0,2299,4.9,28,Charged Off
13600, 36 months,9.42,435.14,B,B2,10+ years,MORTGAGE,85203,Not Verified,debt_consolidation,26.47,0,14,0,5500,47.7,23,Fully Paid
6300, 60 months,7.25,125.49,A,A5,4 years,RENT,81241,Source Verified,debt_consolidation,17.31,1,12,0,21909,64.1,23,Current
11200, 36 months,8.57,353.92,B,B5,2 years,RENT,38557,Verified,credit_card,13.73,2,12,0,55698,59.1,28,Fully Paid
5300, 36 months,6.89,163.38,A,A2,10+ years,RENT,31363,Source Verified,other,21.32,0,8,0,22992,68.2,23,Fully Paid
2175, 36 months,18.95,79.67,D,D3,1 year,RENT,172940,Verified,car,21.21,0,11,3,94839,35.7,24,Fully Paid
15225, 36 months,7.76,475.41,B,B1,< 1 year,RENT,26876,Verified,debt_consolidation,10.4,0,11,0,4006,40.7,24,Current
40000, 36 months,27.28,1639.02,F,F5,10+ years,RENT,54659,Verified,major_purchase,16.12,1,7,0,13036,26.8,18,Charged Off
14700, 60 months,10.68,317.27,C,C1,10+ years,RENT,94031,Source Verified,debt_consolidation,12.94,0,9,0,14582,45.5,26,Current
9550, 36 months,15.77,334.67,D,D4,10+ years,RENT,149145,Verified,other,13.91,1,14,0,3348,15.3,29,Charged Off
7475, 36 months,5.25,224.87,A,A1,10+ years,MORTGAGE,60649,Source Verified,debt_consolidation,20.27,0,9,0,12081,33.8,19,Fully Paid
7650, 36 months,19.59,282.71,E,E2,10+ years,RENT,70587,Verified,home_improvement,11.61,0,8,0,4238,37.2,18,Charged Off
7475, 36 months,18.73,272.98,E,E1,10+ years,OWN,45092,Not Verified,debt_consolidation,20.53,0,9,0,3896,61.9,25,Fully Paid
11375, 36 months,11.61,375.7,C,C1,10+ years,OWN,169142,Not Verified,debt_consolidation,11.36,0,6,0,2663,28.6,14,Fully Paid
1850, 36 months,11.22,60.76,C,C1,3 years,RENT,136404,Source Verified,credit_card,26.65,0,11,0,6240,10.2,20,Fully Paid
1625, 36 months,17.47,58.32,D,D3,6 years,RENT,32850,Not Verified,medical,12.67,0,10,0,14131,62.7,26,Charged Off
13550, 60 months,6.14,262.84,A,A3,10+ years,RENT,88767,Not Verified,home_improvement,41.18,0,8,2,2552,45.3,28,Fully Paid
8600, 36 months,12.25,286.67,C,C4,8 years,MORTGAGE,55848,Source Verified,home_improvement,22.77,0,12,0,5182,50.3,29,Fully Paid
4950, 60 months,9.92,104.98,B,B2,2 years,MORTGAGE,72216,Not Verified,other,15.23,0,5,1,4699,59.9,17,Fully Paid
4850, 36 months,5.0,145.36,A,A1,9 years,RENT,37019,Source Verified,other,11.24,0,8,0,9068,57.2,26,Fully Paid
6675, 60 months,9.96,141.69,B,B1,10+ years,RENT,18535,Source Verified,debt_consolidation,20.25,0,9,0,4783,39.1,24,Charged Off
7375, 36 months,6.36,225.57,A,A1,5 years,MORTGAGE,30786,Verified,debt_consolidation,24.67,1,10,0,2084,8.4,25,Fully Paid
26800, 60 months,6.41,523.24,A,A1,10+ years,RENT,42900,Verified,credit_card,21.09,0,12,0,10877,45.8,22,Fully Paid
4675, 36 months,7.28,144.95,A,A3,10+ years,OWN,44388,Not Verified,debt_consolidation,13.05,1,6,0,5093,48.4,19,Fully Paid
16875, 60 months,26.47,509.95,F,F4,5 years,RENT,14675,Verified,credit_card,29.1,0,8,0,8602,26.7,25,Fully Paid
14950, 36 months,13.48,507.19,C,C5,8 years,RENT,72174,Not Verified,other,18.48,0,16,0,14839,31.5,26,Charged Off
8525, 60 months,23.7,243.76,F,F2,2 years,RENT,25702,Not Verified,debt_consolidation,12.68,0,15,0,12433,61.5,26,Fully Paid
16900, 60 months,7.73,340.49,B,B1,8 years,MORTGAGE,58482,Not Verified,debt_consolidation,39.9,0,12,1,3283,22.5,30,Charged Off
13475, 36 months,5.91,409.39,B,B4,10+ years,RENT,29426,Not Verified,house,21.35,0,12,0,7798,17.0,28,Current
4100, 36 months,13.19,138.52,C,C5,10+ years,RENT,20463,Verified,moving,19.36,1,10,0,3992,25.9,22,Fully Paid
6525, 36 months,7.61,203.3,B,B4,4 years,RENT,58112,Not Verified,debt_consolidation,13.55,3,5,1,12833,33.1,15,Fully Paid
12975, 60 months,5.0,244.85,A,A3,1 year,RENT,53087,Source Verified,credit_card,16.21,2,13,0,11787,52.9,29,Charged Off
6500, 36 months,12.47,217.36,C,C5,10+ years,MORTGAGE,63367,Not Verified,debt_consolidation,11.88,0,9,0,3040,1.4,23,Fully Paid
15175, 36 months,9.86,488.66,B,B4,3 years,RENT,156019,Not Verified,debt_consolidation,17.71,0,8,0,3938,41.1,23,Fully Paid
22325, 36 months,14.12,764.32,C,C3,< 1 year,MORTGAGE,91660,Source Verified,major_purchase,20.48,0,15,0,3644,37.5,31,Fully Paid
9700, 36 months,14.59,334.31,C,C4,6 years,RENT,195355,Not Verified,car,7.59,3,12,0,12322,36.6,25,Charged Off
6475, 36 months,7.81,202.34,A,A4,10+ years,MORTGAGE,49799,Source Verified,debt_consolidation,9.82,0,11,0,18864,20.4,25,Charged Off
5975, 36 months,7.85,186.82,A,A5,10+ years,MORTGAGE,38831,Source Verified,debt_consolidation,11.42,0,9,0,20624,46.1,24,Fully Paid
7650, 36 months,14.3,262.57,D,D3,10+ years,MORTGAGE,78841,Not Verified,other,9.01,1,15,1,3202,62.1,29,Fully Paid
7300, 36 months,9.28,233.09,B,B1,2 years,MORTGAGE,182594,Verified,other,11.82,0,5,0,1722,40.0,16,Fully Paid
18100, 36 months,7.37,561.94,A,A2,3 years,RENT,30596,Not Verified,wedding,29.65,1,11,0,5124,30.4,21,Fully Paid
6550, 36 months,27.07,267.65,G,G5,9 years,OWN,138703,Verified,other,25.96,0,5,0,14405,10.3,17,Fully Paid
8750, 36 months,6.27,267.26,A,A3,10+ years,MORTGAGE,79623,Not Verified,debt_consolidation,12.83,1,11,0,2720,15.9,25,Current
17075, 36 months,16.54,604.87,D,D4,3 years,RENT,45947,Not Verified,debt_consolidation,20.51,0,5,0,17417,37.3,14,Fully Paid
7850, 36 months,27.37,322.04,G,G3,5 years,RENT,147557,Not Verified,debt_consolidation,10.38,0,11,0,1110,57.4,26,Charged Off
7250, 60 months,9.38,151.84,B,B2,5 years,RENT,29150,Not Verified,debt_consolidation,35.96,0,8,0,28363,21.6,15,Fully Paid
18200, 36 months,5.23,547.35,A,A2,10+ years,MORTGAGE,89370,Not Verified,debt_consolidation,15.2,0,9,0,7803,3.7,25,Fully Paid
22275, 36 months,5.0,667.6,A,A1,3 years,RENT,53565,Verified,debt_consolidation,7.32,0,7,1,24454,44.4,20,Fully Paid
10150, 36 months,9.19,323.67,B,B1,10+ years,OWN,117064,Verified,debt_consolidation,40.17,0,12,0,9771,20.6,26,Fully Paid
31625, 36 months,6.59,970.57,A,A2,7 years,RENT,73200,Source Verified,moving,14.59,3,9,0,6616,51.6,23,Fully Paid
11100, 36 months,16.57,393.37,D,D5,3 years,MORTGAGE,115641,Verified,debt_consolidation,37.1,0,10,3,11701,32.6,25,Fully Paid
18275, 60 months,7.93,369.94,A,A5,3 years,MORTGAGE,61630,Not Verified,car,23.74,0,11,0,38669,30.5,26,Fully Paid
38875, 36 months,14.7,1341.91,C,C4,< 1 year,OWN,46123,Verified,debt_consolidation,18.51,2,10,0,2239,18.0,25,Fully Paid
